App ID;German;English;Translate
com.nhl.gc1112.free;;This will allow NHL to connect and stream to devices such as Chromecast on your local network.;This will allow NHL to connect and stream to devices such as Chromecast on your local network.
de.couchfunk.Fussballfunk;Erlaube Fussballfunk Zugriff auf das lokale Netzwerk, um dich mit Google Cast-fÃ¤higen GerÃ¤ten zu verbinden.;;Allow football radio access to the local network to connect to Google Cast-capable devices.
com.tencent.weread;;;Used to accelerate video playback and provide a smooth and stable viewing experience
com.zhangyue.read.storytube;;Internet is needed when importing books via Wi-Fi;WiFi book needs to use your network
com.stromming.Plants;;Atlantis network proxy - Only enable if you are a developer;Atlantis network proxy - Only enable if you are a developer
com.libratone.libratone;;We use local network to detect Wi-Fi device;We use local network to detect Wi-Fi device
com.myclassicworld.idagio.storeapp;IDAGIO benÃ¶tigt Zugriff, um Smart Home Devices wie Sonos und Chromecast anzeigen zu kÃ¶nnen.;IDAGIO needs access in order to show smart home devices like Sonos & Chromecast.;IDAGIO needs access in order to show smart home devices like Sonos and Chromecast.
valhalla.survival.craft.z;;This request is caused by the TCP-network mode that is used for the testing and approval stage only. Live servers use UDP mode that won't trigger such requests.;This request is caused by the TCP-network mode that is used for the testing and approval stage only. Live servers use UDP mode that won't trigger such requests.
de.busch-jaeger.freeathomeflex;Diese App benÃ¶tigt Zugriff auf das lokale Netzwerk, um Ihren System Access Point automatisch zu finden.;This app needs access to the local network in order to find your System Access Point automatically.;Fix
com.raumfeld.RaumfeldControl;Die App sucht in Ihrem Netzwerk nach Teufel-GerÃ¤ten.;The app needs to search for Teufel devices in your local network.;The app needs to search for Teufel devices in your local network.
com.microsoft.rdc.ios;FÃ¼r die Verbindung mit PCs in Ihrer Umgebung benÃ¶tigen Sie einen lokalen Netzwerkzugriff.;Local network access is required to connect to PCs around you.;Local network access is required to connect to PCs around you.
com.garmin.gecko;This allows us to find and connect to your Garmin devices.;This allows us to find and connect to your Garmin devices.;This allows us to find and connect to your Garmin devices.
com.microsoft.skype.teams;;This app needs to access your network to make and receive calls.;This app needs to access your network to make and receive calls.
com.gottajoga.gottayoga;;"Gotta Yoga uses the local network to discover Cast-enabled devices on your WiFi
network.";"Gotta Yoga uses the local network to discover Cast-enabled devices on your WiFi
network."
com.nanjoran.LightShowiOS;;The local network access is required to link the app to your smart lights and speakers.;The local network access is required to link the app to your smart lights and speakers.
com.upmc-mobile.fitnessRAUM;fitnessraum-ios greift auf das lokale Netzwerk zu um Chromecast-kompatible GerÃ¤te in deinem Wlan zu finden.;;Fitness room ISPs access the local network to find Chromecast-compatible devices in your WLAN.
com.pspdfkit.viewer;;Connecting to a local PSPDFKit Server instance requires access to local network.;Connecting to a local PSPDFKit Server instance requires access to local network.
com.citrix.ReceiveriPad;Citrix Workspace mÃ¶chte auf Ihr Netzwerk zugreifen, um Ihre Dateien auf das verbundene GerÃ¤t zu Ã¼bertragen.;Citrix Workspace wants to access your network to transfer your files to the connected device.;Citrix Workspace wants to access your network to transfer your files to the connected device
com.soundbrenner.metronome;Um Ableton Link verwenden zu kÃ¶nnen, musst du unserer App die Berechtigung geben, sich mit GerÃ¤ten in deinem lokalen Netzwerk zu verbinden.;To use Ableton Link, you need to grant our app permission to connect to devices on your local network.;To sync the metronome with peers via Ableton Link, you need to grant our app permission to use the local network.
com.viessmann.vizard.release;Wir benÃ¶tigen Ihr EinverstÃ¤ndnis fÃ¼r standortbezogene Daten, um eine Verbindung mit einer Viessmann Installation aufzubauen.;We require your consent for local network-related data in order to establish a connection to a Viessmann installation.;To establish a connection with the installation of VISSMANN, we need your consent to connect to a local network.
com.skyjos.fileexplorerfree;;Allow access local network to discover and connect devices such as PC, Mac, NAS etc.;Allow access local network to discover and connect devices such as PC, Mac, NAS etc.
com.facebook.Facebook;Facebook verwendet dein lokales Netzwerk beispielsweise dafÃ¼r, dass du GerÃ¤te suchen und dich mit diesen verbinden oder Videos auf den Fernseher streamen kannst.;Facebook uses your local network so you can do things like find and connect to devices and cast videos to TV.;Facebook uses your local network so you can do things like find and connect to devices and cast videos to TV.
jp.naver.line;LINE benÃ¶tigt Zugang zu deinem lokalen Netzwerk, um die AnrufqualitÃ¤t durch direkte Verbindung der Teilnehmer im selben Netzwerk zu verbessern.;LINE needs access to your local network to improve call quality by directly connecting participants on the same network.;LINE needs access to your local network to improve call quality by directly connecting participants on the same network.
com.footlocker.europe.uk;;Atlantis would use Bonjour Service to discover Proxyman app from your local network.;Atlantis would use Bonjour Service to discover Proxyman app from your local network.
com.6alabat.cuisineApp;;Network access required for debugging purpose.;Network access required for debugging purpose.
com.tencent.ig;;This app will be able to discover friends and share in-game visuals on the networks you use. ;This app will be able to discover friends and share in-game visuals on the networks you use.
com.connectify.Speedify;;Speedify uses the local network to share your connection with other Speedify devices;Speedify uses the local network to share your connection with other Speedify devices
co.abetterhome.lighter;;Lighter connects to lighting devices on your local network to play light scenes.;Lighter connects to lighting devices on your local network to play light scenes.
com.enphaseenergy.MyEnlighten;So verbinden Sie das Gateway Ã¼ber Wi-Fi.;To connect gateway through Wi-Fi.;To connect gateway through Wi-Fi.
com.yinzcam.nfl.sea;;This app uses the local network to connect to Cast-enabled devices on your Wifi network.;This app uses the local network to connect to Cast-enabled devices on your Wifi network.
uk.co.bbc.sportww;;You will need this to connect to Chromecast;You will need this to connect to Chromecast
com.xiaoyi.yihome.tw;;You can use your local network to connect to the device;You can use your local network to connect to the device
com.sandboxol.blockmango;;We will use the local network to detect the connection quality between the client and the local gateway;We will use the local network to detect the connection quality between the client and the local gateway
co.yogabuddhi.YogaBuddhi.Hiit;;Down Dog uses the local network to discover available Chrome Cast devices.;Down Dog uses the local network to discover available Chrome Cast devices.
com.maz.combo.1126;;CoreAppZero uses the local network to discover Cast-enabled devices on your WiFi network.;CoreAppZero uses the local network to discover Cast-enabled devices on your WiFi network.
eu.parkhere.smartcity;PARCO verwendet das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in deinem WIFI zu erkennen.;PARCO uses the local network to discover Cast-enabled devices on your WiFi.;Parco uses the local network to identify cast-compatible devices in your WIFI.
im.thebot;Lassen Sie Botim auf das lokale Netzwerk zugreifen, um andere GerÃ¤te zu erkennen, sich mit ihnen zu verbinden und Daten zu Ã¼bertragen;Let Botim access the local network to discover, connect to other devices, and transfer data;Let Botim to access the local network to discover, connect to other devices, and transfer data
com.fca.myconnect.fiat;This app requires an internet connection to access your account data and vehicle features. Your local network will be used when cellular data is not available.;This app requires an internet connection to access your account data and vehicle features. Your local network will be used when cellular data is not available.;This app requires an internet connection to access your account data and vehicle features. Your local network will be used when cellular data is not available.
com.realvnc.VNCViewer;;VNC Viewer needs to access the local network so you can discover and connect to local VNC Servers.;VNC Viewer needs to access the local network so you can discover and connect to local VNC Servers.
com.campmobile.snow;;SNOW uses the local network to search for PCs around you.;SNOW uses the local network to search for PCs around you.
com.bluebot.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.ludia.lovelink;;Local network access must be enabled for the app to be properly launched.;Local network access must be enabled for the app to be properly launched.
com.fitonapp.fiton;FitOn verwendet das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in deinem WLAN zu erkennen.;FitOn uses the local network to discover Cast-enabled devices on your WiFi.;FitOn uses the local network to discover Cast-enabled devices on your WiFi.
com.jimi.tracksolid.appstore;;Allow local network to access device?;Allow local network to access device?
com.miHoYo.bh3global;;Allowing this app to access your local network will provide you with a better notices experience;Allowing this app to access your local network will provide you with a better notices experience
tv.1-2-3.Ipad;123tv verwendet das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in Ihrem WiFi zu erkennen;;123TV uses the local network to identify cast-enabled devices in your WiFi
de.zdf.mediathek.3sat;;3Sat uses the local network to discover Cast-enabled devices on your WiFi network.;3Sat uses the local network to discover Cast-enabled devices on your WiFi network.
de.ard.audiothek;Um Chromecast zu nutzen, benÃ¶tigt diese App Zugriff auf dein lokales Netzwerk.;This app needs access to your local network to connect with chromecast.;This app needs access to your local network to connect with chromecast.
com.governikus.ausweisapp2;Die AusweisApp2 benÃ¶tigt Zugriff auf das lokale Netzwerk, um \Smartphone als Kartenleser (SaK)\ verwenden zu kÃ¶nnen.;"AusweisApp2 needs access to the local network in order to use ""Smartphone as card reader (SaC)"".";"AusweisApp2 needs access to the local network in order to use ""Smartphone as card reader (SaC)""."
de.apptelligence.sportschauAPN;;SportschauNext uses the local network to discover Cast-enabled devices on your WiFi network.;SportschauNext uses the local network to discover Cast-enabled devices on your WiFi network.
com.vk.vkclient;;Allow access to use devices on a local network;Allow access to work with devices on the local network
com.linguee.linguee;Wir benÃ¶tigen diese Berechtigung, damit die App funktioniert. Linguee verbindet sich nur mit einem integrierten Netzwerkserver und hat niemals Zugang zu sonstigen Anwendungen.;We need this permission for the app to work. Linguee only connects to an integrated network server, and will never access any other device.;We need this permission for the app to work. Linguee only connects to an integrated network server, and will never access any other device.
com.epson.ESCPR01;Erlauben Sie die Verbindung, um Ihr Produkt Ã¼ber diese App verfÃ¼gbar zu machen.;To make your product available from this app, allow the connection.;To make your product available from this app, allow the connection.
com.groupeseb.ext.xplorer;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.kalavision.alfred;FÃ¼r ein ordnungsgemÃ¤ÃŸ funktionierendes Streaming ist eine Netzwerkberechtigung erforderlich.;;Network permission is required for the appropriate broadcasting broadcasting.
de.radioplayer.ios;Radioplayer den Zugang zu Ã¼bertrÃ¤gungsfÃ¤higen GerÃ¤ten im WLAN erlauben;Radioplayer uses the local network to discover Cast-enabled devices on your WiFi network.;"Radioplayer DE uses the local network to discover Cast-enabled devices on your WiFi
network."
de.sky.skystore;;SkyStore uses the local network to discover Cast-enabled devices on your WiFi network.;SkyStore uses the local network to discover Cast-enabled devices on your WiFi network.
com.voghion.app;Um Ihnen personalisiertere Dienste zur VerfÃ¼gung zu stellen, um Ihre grÃ¶ÃŸeren Netzwerkanforderungen zu erfÃ¼llen;To provide you with more personalized services to meet your more network needs;To provide you with more personalized services to meet your more network needs
ch.exovoid.weatherpro;;NSLogger DEBUG - Access to the local network for development builds. This should NEVER be used in release build since the app does not access local network otherwise.;NSLogger DEBUG - Access to the local network for development builds. This should NEVER be used in release build since the app does not access local network otherwise.
com.crystalnix.ServerAuditor;;Termius requires extra permissions to make connections in your local network. Press OK to continue.;Termius requires extra permissions to make connections in your local network. Press OK to continue.
de.teufel.Undok;;UNDOK requires this permission in order to configure or detect the speakers connected to your Wi-Fi network;UNDOK requires this permission in order to configure or detect the speakers connected to your Wi-Fi network
com.google.ios.youtube;Zugriff auf dein Netzwerk ermÃ¶glicht es YouTube, andere GerÃ¤te, wie z.Â B. deinen Fernseher, zu finden und eine Verbindung zu ihnen herzustellen.;Access to your network allows YouTube to discover and connect to devices such as your TV.;Access to your network allows YouTube to discover and connect to devices such as your TV.
de.videobuster.apps.ios.filmapp;Die App nutzt dein WLAN, um Chromecast-GerÃ¤te zu suchen;;The app uses your WLAN to search for Chromecast devices
net.conntac.o2de;Die App benÃ¶tigt das lokale Netzwerk, um eine Verbindung mit dem Router herstellen zu kÃ¶nnen;;The app needs the local network to connect to the router
com.belkin.plugin;Wir mÃ¼ssen auf Informationen zu Ihrem WLAN-Netzwerk zugreifen, um Ihre Wemos zu finden, einzurichten und zu bedienen.;We need access to your Wi-Fi network information to find, set up, and control your Wemos.;We need access to your Wi-Fi network information to find, set up, and control your Wemos.
com.ldvsmartwifii.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.hikvision.ezviz;EZVIZ App benÃ¶tigt die lokale Netzwerkberechtigung, damit Sie die Netzwerkkonfigurationsfunktion fÃ¼r intelligente GerÃ¤te nutzen kÃ¶nnen.;EZVIZ App needs the local network permission to help you use the smart device network configuration function.;EZVIZ App needs Local Network permission to find local devices.
pl.satel.mobilekpd2;;Enabling to find onvif cameras.;Enabling to find onvif cameras.
de.foraum;Foraum Sammelt bei eingeschaltenem App Support Modus ( App Einstellungen ) Daten um Probleme zu finden (zb. Lokale Netzwerk Resourcen). Bei Ausgeschaltetem Support Modus, werden keine Standort Daten erhoben.;;Foraum collects data when the Support mode app is switched on (app settings) to find problems (e.g. local network resources).When the support mode is switched off, no data will be collected.
com.teamviewer.teamviewerQS;QuickSupport kann dadurch von anderen TeamViewer-Clients in deinem Netzwerk erkannt werden.;This allows QuickSupport to be discovered by other TeamViewer clients on your network.;IDS_LOCAL_NETWORK_USAGE_DESCRIPTION_QS
io.dvlt.blaze.ios;Die Devialet-App verwendet das lokale Netzwerk, um eine Verbindung zu Devialet-GerÃ¤ten herzustellen.;Devialet app uses the local network to connect to Devialet devices.;This allows us to scan and communicate with your devices in your local network.
com.slema.BatteryFree;;NSLogger DEBUG - Access to the local network for development builds. This should NEVER be used in release build since the app does not access local network otherwise.;NSLogger DEBUG - Access to the local network for development builds. This should NEVER be used in release build since the app does not access local network otherwise.
de.sky.skysportapp;â€žSky Goâ€œ mÃ¶chte sich mit deinem Sky Q Receiver verbinden, damit Du deine Aufnahmen ansehen oder deine geplanten Aufnahmen verwalten kannst. HierfÃ¼r wird Dein EinverstÃ¤ndnis benÃ¶tigt. Wenn Du das mÃ¶chtest, bitte bestÃ¤tige mit OK.;;"""Sky Go"" would like to connect to your Sky Q Receiver so that you can watch your recordings or manage your planned recordings.Your consent is required for this.If you want that, please confirm with OK."
com.oneandone.controlcenter;Nur wenn Sie Ihre Zustimmung geben, kÃ¶nnen wir Sie bei der Optimierung Ihres Heimnetzwerks unterstÃ¼tzen.;;Only if you give your consent can we support you in optimizing your home network.
com.jaysquared.whereis;;Multiplayer;Multiplayer
tv.arte.plus7;Die ARTE App mÃ¶chte auf Ihr lokales Netzwerk zugreifen, um sich mit verfÃ¼gbaren Cast-GerÃ¤ten zu verbinden.;The ARTE app would like to use your local network to connect to available Cast devices.;The ARTE app wants to access your local network to connect to available cast devices.
com.geewhiz.Lancelot.Lancelot;;Enable survey with local network;Enable survey with local network
pl.cyfrowypolsat.cpgo;;;The Polsat Box Go application wants to find devices in the local network and connect to them.Polsat Box GO uses a local network to detect devices that support image transmission in your Wi-Fi network.
com.hikvision.HiLookVision;;Allow this app to access your local network to find and set up local devices.;Allow this app to access your local network to find and set up local devices.
com.robotsquid.kingofcrabs;;In order to connect to other players in multiplayer sessions, the application needs access.;In order to connect to other players in multiplayer sessions, the application needs access.
com.crowdstar.covetHome;;Design Home would like to access local networks for debugging purpose.;Design Home would like to access local networks for debugging purpose.
com.irobot.home;Dadurch kann die App eine Verbindung zu Ihren iRobot-Produkten herstellen, sodass Sie diese einrichten und steuern kÃ¶nnen.;This allows the app to connect to your iRobot products so you can set up and control them.;This allows you to connect to your iRobot products to set and control them.
nl.nos.app;;;With the NOS app you can easily watch videos and live streams on your TV via, for example, Chromecast.
com.dayananetworks.voicerecordpro;;Transfer audio files to and from other devices.;Transfer audio files to and from other devices.
com.miHoYo.GenshinImpact;Erlaube der App den Zugriff auf dein lokales Netz, um ein besseres Erlebnis mit den AnkÃ¼ndigungen zu haben.;Allowing this app to access your local network will provide you with a better notices experience;Allowing this app to access your local network will provide you with a better notices experience
org.domestika;;Domestika uses the local network to discover Cast-enabled devices on your WiFi network.;Domestika uses the local network to discover Cast-enabled devices on your WiFi network.
com.nbcuni.cnbc.cnbcrtipad;;CNBC would like to find/connect to devices on your local network to enable airplay.;CNBC would like to find/connect to devices on your local network to enable airplay.
com.RadioJavan.RJ;;"Radio Javan uses the local network to discover Cast-enabled devices on your WiFi
network";"Radio Javan uses the local network to discover Cast-enabled devices on your WiFi
network"
com.insta360.oner;Insta360 will das Netzwerk nutzen, um eine Verbindung zur Kamera/zum Server herzustellen;Insta360 wants to use the network to connect to the camera/server;we need network to connect camera/server to fetch infomations
com.bticino.dooreliotc300x;The local network is scanned during the configuration of the device;The local network is scanned during the configuration of the device;The local network is scanned during the configuration of the device
com.bose.SoundTouch;Dies ermÃ¶glicht es uns, Ihr Bose-Produkt zu erkennen, zu verbinden und zu steuern.;This allows us to discover, connect, and control your Bose products.;This allows us to discover, connect, and control your Bose products.
com.nikon-image.SnapBridge;"Tippen Sie fÃ¼r das Verbinden mit der Kamera auf ""OK"".";Tap â€œOKâ€ to connect to the camera.;Tap â€œOKâ€ to connect to the camera.
de.home24.www;;Atlantis would use Bonjour Service to discover Proxyman app from your local network.;Atlantis would use Bonjour Service to discover Proxyman app from your local network.
com.ufc.UFCTV;;This app uses the local network to discover Cast-enabled devices on your WiFi network;DiceMobile uses the local network to discover Cast-enabled devices on your WiFi network.
com.udemy;Chromecast benÃ¶tigt Zugriff auf dein lokales Netzwerk, um Udemy zu finden und eine Verbindung herzustellen.;Chromecast needs access to your local network to discover and connect with Udemy;Chromecast needs access to your local network to discover and connect with Udemy
com.skillshare.Skillshare;;Skillshare uses the local network to discover Cast-enabled devices on your WiFi network.;Skillshare uses the local network to discover Cast-enabled devices on your WiFi network.
com.scripted.video;Fernsteuerung des Bildlauftextes;To remote control the scrolling text;To remote control the scrolling text
de.telekom.magentazuhause;Erlaube den Zugriff, damit die App deine smarten GerÃ¤te in der NÃ¤he findet.;Please allow access so the app can find your smart devices nearby.;Please allow access so the app can find your smart devices nearby.
com.roborock.smart;Die lokale Netzwerkberechtigung wird fÃ¼r die GerÃ¤tenetzwerkkonfiguration und die LAN-Kommunikation verwendet.;The local network permission is used for device network configuration and LAN communication.;The app requires local network to pair and communicate with the device within the same WLAN.
com.daikineurope.online.controller;Zugang zum lokalen Netzwerk ist erforderlich, um ein GerÃ¤t mit Ihrem Netzwerk verbinden zu kÃ¶nnen.;Access to the local network is required to be able to connect a device to your network.;We need access to the local network to be able to connect a device to your network.
com.uo.StoreLocator;;Allows connecting to local devices for an enhanced In-Store Experience;Allows you to connect to local devices for an improved experience in the store
fm.castbox.audiobook.radio.podcast;Diese App verwendet Ihr lokales Wi-Fi-Netzwerk, um Cast-fÃ¤hige GerÃ¤te in Ihrem Netzwerk zu finden und auf diese zu Ã¼bertragen.;This app will use your local Wi-Fi network to discover and Cast to Cast-enabled devices on your network.;This app will use your local Wi-Fi network to discover and Cast to Cast-enabled devices on your network.
com.ubnt.unifiac;Lokaler Netzwerkzugang wird zur Erkennung einiger UniFi GerÃ¤te benÃ¶tigt.;Local network access is needed to discover some UniFi devices.;This allows you to discover and adopt devices on your network.
com.epson.Epson-Smart;Erlauben Sie die Verbindung, um Ihr Produkt Ã¼ber diese App verfÃ¼gbar zu machen.;To make your product available from this app, allow the connection.;If you want to use your product from this application, allow connection.
com.joeallen.teleprompter;;Allows you to use other nearby devices as controllers.;Allows you to use other nearby devices as controllers.
com.anystonetech.Anytone;Anytune Anwendungen lokale Vernetzung mit Audiobus zu kommunizieren und Audio-Dateien Ã¼ber WiFi importieren.;Anytune uses local networking to communicate with Audiobus and import audio files over WiFi.;Local Network Usage Description
de.tv.WM2018;Erlaube WM2018 Zugriff auf das lokale Netzwerk, um dich mit Google Cast-fÃ¤higen GerÃ¤ten zu verbinden.;;Allow WM2018 access to the local network to connect to Google Cast-capable devices.
com.tuya.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.deltatre.atp-tennis-tv-ios;;Tennis TV uses the local network to discover Cast-enabled devices on your WiFi network.;Tennis TV uses the local network to discover Cast-enabled devices on your WiFi network.
com.lenovo.anyshare;;SHAREit needs the permission to send the files;SHAREit needs the permission to send the files
tv.airbeam.mirrorforlgtvios;Mirror fÃ¼r LG TV verwendet das lokale Netzwerk, um Ihren Fernseher zu finden und Video und Audio an den Fernseher zu senden.;Mirror for LG TV uses the local network to find your TV and to send the video and audio to TV.;Mirror for LG TV uses the local network to find your TV and to send the video and audio to TV.
de.thousandeyes.doorbird;;The DoorBird app uses the local network to connect to DoorBird devices on the same network.;The DoorBird app uses the local network to connect to DoorBird devices on the same network.
com.wix.ios;Durch Zugriff auf diese Daten kÃ¶nnen Cast-fÃ¤hige GerÃ¤ten im WLAN-Netzwerk erkannt werden.;Access to this data will help discover Cast-enabled devices on your WiFi network;Access to this data will help discover Cast-enabled devices on your WiFi network
com.zoiper.zoiperiphone;;"This application needs access to network/internet for VoIP communication:
- register account(s) with VoIP/PBX servers 
- make and receive VoIP calls";"This application needs access to network/internet for VoIP communication:
- register account(s) with VoIP/PBX servers 
- make and receive VoIP calls"
com.liebherr.hau.hngry;;Allow HNGRY to connect to your HNGRYnsite.;Allow HNGRY to connect to your HNGRYnsite.
de.avm.fritzappwlan;Die FRITZ!App WLAN versucht nun, eine Verbindung zu Ihrer FRITZ!Box herzustellen.;FRITZ!AppÂ WLAN will now try to establish a connection to your FRITZ!Box.;FRITZ!App WLAN will now try to establish a connection to your FRITZ!Box.
com.hikvision.hikconnect;;Allow this app to access your local network to find and set up local devices.;Allow this app to access your local network to find and set up local devices.
